Partner Name,Partner ID,Description,Website,Certifications Count,Country,City
N/A,001E000000sUl2xIAC,"With expertise in AWS services and IT total solutions, Nextlink offers flexibility, scalability, cost-effectiveness and transparency to our clients. Tailored with foresight to meet the scale and demands of their current and future needs, and provides a one-stop solution of deploying, monitoring, and managing their environments 24/7 on the cloud, enabling our clients focus on their core business.",https://www.nextlink.cloud,210,Singapore,N/A
N/A,001E000001HPlIAIA1,"DoiT is a global technology company that provides intelligent software and unrivaled cloud expertise to cloud driven organizations. With nearly 2,500 years of cumulative cloud operations experience, DoiT works alongside more than 3,000 customers in 70+ countries to save them time and money.",https://www.doit.com,501,United States,N/A
N/A,001E000001JX9HmIAL,"As an AWS Premier consulting partner, Mantel Group uses technology that changes the way our customers do business in the real world, offering end-to-end solutions across four capability pillars – Digital, Cloud, Data and Cybersecurity. Our passionate team of AWS specialists have been recognised as AWS Consulting partner of the year 3 times",https://mantelgroup.com.au/partners/amazon-web-services/,486,Australia,N/A
N/A,001E000001N5vPMIAZ,"InterVision is a strategic service provider helping organizations run, grow and transform their businesses with the power of cloud and modern IT services. Our experts leverage our expansive history in technology solutions, deep bench of certified engineers, data scientists and ecosystem of partners to excel in delivering professional and managed services to commercial and public sectors.",https://www.intervision.com/,123,United States,N/A
N/A,001E000001eNJd8IAG,"With offices throughout ANZ, the UK and USA, we assist our clients by providing them with a fit for purpose AWS Cloud experience. Our approach is a completely collaborative one, which recognises each client's unique requirements and challenges. We provide a customised Cloud strategy, formulate an outcomes-focussed AWS Cloud migration roadmap, and offer support to our clients every step of the way.",https://cybercx.co.nz/about-cybercx/cybercx-partners-aws/,114,New Zealand,N/A
N/A,0010L00001jSWNFQA4,"Ultrapower CBD, fully integrated with AWS, amalgamates our company's elite team of IT operation and maintenance experts along with industry specialists. Our objective is to extend our expertise and innovative solutions in the realm of IT operations,IT maintenance and AWS to a broader customer and partner base, fostering mutually beneficial collaborations.",http://www.ultrapower.com.cn,83,China,N/A
N/A,001E000000Rl0yPIAR,"AHEAD builds and manages digital platforms that power the most successful organizations in the world. Our consultative approach, unmatched engineering, and innovative solutions combine to accelerate the impact of technology in every client we serve. Learn more at www.ahead.com.",http://www.ahead.com,183,United States,N/A
N/A,001E000000r2OzoIAE,"Innovative is focused on helping small to mid-size businesses and startups leverage the power of the cloud with a focus on Migrations, Data and Analytics, and Machine Learning. Innovative provides customized solutions based on each business’s unique needs and partners with customers throughout their cloud journey.",http://www.innovativesol.com/,194,United States,N/A
N/A,001E000000UfamJIAR,"At Kainos we use technology to solve real problems for customers, overcome big challenges for businesses, and make people’s lives easier. We build strong relationships with customers and go beyond to change the way they work today and the impact they have tomorrow. We've been delivering award-winning IT services, consulting and software solutions for over 30 years employing over 3,000 people.",http://www.kainos.com,566,United Kingdom,N/A
N/A,001E000000gL3HHIA0,"General Dynamics IT partners with defense, intelligence and federal government agencies to design, develop, migrate and manage customer workloads and applications on AWS. Our team of certified architects, engineers and DevOps professionals deliver end-to-end services across the entire cloud journey.",https://gdit.com/partner/amazon-web-services,399,United States,N/A
N/A,001E000001QMw8yIAD,"As an all-in AWS Partner, Caylent is obsessed with accelerating time-to-value and our track record is backed by years of experience working with customers to solve even the most complex challenges to achieve technical and business results. Caylent’s core practice areas include DevOps, Migration & Modernization, Security & Compliance, Data Engineering, and Cloud Native Application Development",https://www.caylent.com,714,United States,N/A
N/A,001E000000Rl0wGIAR,"NTT Ltd. is a leading global technology services company and AWS Premier partner. We provide AWS consulting, Managed Services, Migration and Modernization services helping customers accelerate their AWS journey. NTT works with organizations around the world, achieving business outcomes through intelligent technology solutions. For us, intelligent means data driven, connected, digital & secure.",https://hello.global.ntt/en-us/about-us/our-partners/aws,1051,United Kingdom,N/A
N/A,001E000000Rl0yUIAR,"TD SYNNEX offers partners AWS services and the StreamOne Ion marketplace, which connects them with cloud solutions from top providers, enables billing consolidation, usage tracking and optimizes AWS provisioning. They get the same benefits as AWS resellers, technical and account provisioning support, discounts with no volume commitments, monthly reporting and no annual program fees.",https://www.tdsynnex.com/na/us/aws/,415,United States,N/A
N/A,001E000000UfaRpIAJ,"Cloud Kinetics is a cloud transformation and managed service partner with deep and extensive hybrid cloud, multi-cloud, and data expertise. With a customer-first approach, Cloud Kinetics helps enterprises effectively build, modernize, and optimize cloud and data environments, navigate cloud complexities, and run robust operations.",http://www.cloud-kinetics.com,108,Singapore,N/A
N/A,001E000000cGSw7IAG,"Ingram Micro offers a full range of benefits around Sales Enablement, Practice Development, Technical Enablement, and Business & Financial Support. Services include augmented professional services, Well-Architected Reviews, complementary CloudCheckr billing platform, operational back office and billing support, RI optimization, creative financing options, GTM support, Immersion Days, and more.",https://awscloud.ingrammicrocloud.com/,412,United States,N/A
N/A,001E000000pbhc9IAA,"Created in 1999, TeamWork has been an AWS Partner for +10 years. Aiming at achieving Premier status early 2022, we have +70 certifications (focused on MIGRATION, DEVOPS & SAP), and +100 Managed Services customers. Our CCoE investments are turned towards Data Analytics/Flows, bringing you more value through ""better cloud"", and innovating with AIML combined to cutting-edge development expertise.",https://www.teamwork.net/,127,France,N/A
N/A,001E000001VBqRtIAL,"With headquarters in the United States, Tel Aviv & India, Sela has been providing consulting, managed services, 360º support, and skilling across the globe for over 23 years. AI/ML, GenAI, DevOps + MLOps, Cloud Migration, Modernization, Cloud-native development, FinOps, SaaS and ISV Platform Development - we do all this and more for global clients - startup to established.",https://selacloud.com/,70,Israel,N/A
N/A,0010L00001kWbcJQAS,"CDW is a leading multi-brand technology solutions provider to business, government, education and healthcare organizations in the United States, Canada and the United Kingdom. A Fortune 500 company with multi-national capabilities, CDW was founded in 1984 and employs more than 9,000 coworkers. The company generated net sales of over $18 billion in 2019.",https://dvs.cdw.com/aws,369,United States,N/A
N/A,0010L00001u56SvQAI,"Based in Sydney, Australia, DNX Solutions is a leading cloud-native-focused company with a strong presence in APJ and Latam. Specialising in migration, security, compliance, and data/application modernisation, established in 2019, boasts an impressive track record. DNX Solutions stands among the only six AWS Premiere Consulting Partners in ANZ, with notable certifications and AWS programs.",https://www.dnx.solutions,140,Australia,N/A
N/A,001E000000NaBHzIAN,"Serverworks has been certified as a AWS Premier Tier Services Partner for 10 years and has supported over 19600 projects (Feb, 2024). Capabilities include: technical assessment, migration and modernization various on-premise IT systems to AWS, 24×7 MSP services, AWS Training services. Also, Serverworks provides Cloud Automator, a SaaS solution, which enables customers to automate AWS operations.",https://www.serverworks.co.jp,1243,Japan,N/A
N/A,001E000000Rp5FiIAJ,"More than 10 years of AWS experience and truly committed to the public cloud. Zoi closes the gap between enterprise customers and new technologies: from Cloud Journey to IoT and DevOps, Custom Software, Security and SAP. We are offering end-to-end solutions from conception to implementation. Zoi delivers as an AWS Premier Consulting Partner with AWS Competencies in DevOps, Retail, SAP, and IoT.",http://www.zoi.tech,137,Germany,N/A
N/A,001E000000UfalBIAR,"Insight Enterprises, Inc. is a Fortune 500 global IT provider helping businesses of all sizes – from small and medium sized firms to worldwide enterprises, governments, schools and health care organizations – define, architect, implement and manage Intelligent Technology SolutionsTM. Insight empowers its customers to manage their IT environments so they can drive meaningful business outcomes today",http://www.insight.com,272,United States,N/A
